epoch,acc,learning_rate,loss,val_acc,val_loss
0,0.40087783336639404,4.999999873689376e-05,1.3169288635253906,0.4378698170185089,1.2487269639968872
1,0.44891488552093506,4.999999873689376e-05,1.265275478363037,0.4497041404247284,1.2380642890930176
2,0.47110462188720703,4.999999873689376e-05,1.2335751056671143,0.5029585957527161,1.2142188549041748
3,0.4420872926712036,4.999999873689376e-05,1.2715888023376465,0.4536489248275757,1.2334703207015991
4,0.4867105484008789,4.999999873689376e-05,1.2159978151321411,0.4950690269470215,1.1900588274002075
5,0.5103633403778076,4.999999873689376e-05,1.1651368141174316,0.5226824283599854,1.1570533514022827
6,0.4152645766735077,4.999999873689376e-05,1.2875587940216064,0.4753451645374298,1.1985394954681396
7,0.5425506234169006,4.999999873689376e-05,1.1200542449951172,0.42603549361228943,1.4401283264160156
8,0.5459644198417664,4.999999873689376e-05,1.1154603958129883,0.38856014609336853,1.304835319519043
9,0.5167032480239868,4.999999873689376e-05,1.1503162384033203,0.5739644765853882,1.079155445098877
10,0.6113142967224121,4.999999873689376e-05,0.9977419972419739,0.5719920992851257,1.0693780183792114
11,0.6296025514602661,4.999999873689376e-05,0.9583945870399475,0.6114398241043091,1.0337903499603271
12,0.6291148662567139,4.999999873689376e-05,0.9371402859687805,0.6193293929100037,0.9678456783294678
13,0.6791026592254639,4.999999873689376e-05,0.8334201574325562,0.6153846383094788,1.0134392976760864
14,0.6883686780929565,4.999999873689376e-05,0.80832839012146,0.6804733872413635,0.8131248950958252
15,0.7159229516983032,4.999999873689376e-05,0.7296603918075562,0.7041420340538025,0.8205467462539673
16,0.657156765460968,4.999999873689376e-05,0.8588784337043762,0.6232741475105286,0.9351893067359924
17,0.7512801885604858,4.999999873689376e-05,0.6488261222839355,0.6883628964424133,0.828658401966095
18,0.7805413603782654,4.999999873689376e-05,0.5856726169586182,0.7199211120605469,0.7363532185554504
19,0.801511824131012,4.999999873689376e-05,0.5398787260055542,0.7357001900672913,0.7009481191635132
20,0.7983418703079224,4.999999873689376e-05,0.5421723127365112,0.7731755375862122,0.667702853679657
21,0.8334552645683289,4.999999873689376e-05,0.4598158001899719,0.7692307829856873,0.711829662322998
22,0.8500365614891052,4.999999873689376e-05,0.4213563799858093,0.7810651063919067,0.7035171389579773
23,0.8612533807754517,4.999999873689376e-05,0.3815159797668457,0.6331360936164856,1.0592849254608154
24,0.860034167766571,4.999999873689376e-05,0.38425859808921814,0.7692307829856873,0.6778103113174438
25,0.8685686588287354,4.999999873689376e-05,0.3649638891220093,0.7790927290916443,0.6175423264503479
26,0.8912460207939148,4.999999873689376e-05,0.30814671516418457,0.7988165616989136,0.6378434896469116
27,0.9053889513015747,4.999999873689376e-05,0.27189838886260986,0.8185404539108276,0.6249163150787354
28,0.9129480719566345,4.999999873689376e-05,0.2635328769683838,0.8165680766105652,0.6245512366294861
29,0.9041697382926941,4.999999873689376e-05,0.2677406072616577,0.7869822382926941,0.6648082733154297
30,0.9117288589477539,4.999999873689376e-05,0.2549518048763275,0.7948718070983887,0.5962974429130554
31,0.9331870079040527,4.999999873689376e-05,0.21150967478752136,0.8422091007232666,0.5474113821983337
32,0.9202633500099182,4.999999873689376e-05,0.23183833062648773,0.7889546155929565,0.7649324536323547
33,0.925871729850769,4.999999873689376e-05,0.21987521648406982,0.8205128312110901,0.6872451305389404
